ticker,date,open,high,low,close,volume
SCOM,2026-07-30,35.3,35.5,35.0,35.5,12220616
EQTY,2026-07-30,87.0,87.5,86.5,87.0,2051008
KCB,2026-07-30,82.0,82.5,81.5,82.25,727138
ABSA,2026-07-30,33.1,33.4,32.8,33.05,168129
COOP,2026-07-30,34.95,35.1,34.8,35.05,142910
KPLC,2026-07-30,20.0,20.5,19.8,20.45,564280
