ticker,date,close,volume,ema_20,ema_50,ema_200,vma_20,rsi_14,macd_line,macd_signal,sma_20,std_20,bb_upper,bb_lower,high_20
ABSA,2025-01-02,18.85,94200,18.85,18.85,18.85,,,0.0,0.0,,,,,
ABSA,2025-01-03,19.0,2930600,18.864285714285717,18.85588235294118,18.851492537313433,,100.0,0.01196581196580837,0.002393162393161674,,,,,
ABSA,2025-01-06,18.85,192500,18.862925170068028,18.855651672433684,18.85147768619589,,48.14814814814815,0.009238561375312315,0.003762242189591802,,,,,
ABSA,2025-01-07,18.5,2052000,18.82836086815679,18.84170454802452,18.84798039578598,,20.9072164948452,-0.020923684088760552,-0.0011749430660786685,,,,,
ABSA,2025-01-08,18.8,223300,18.82565983309424,18.84006907555297,18.84750297891249,,48.042259684511,-0.020385002511165595,-0.005016954955096055,,,,,
ABSA,2025-01-09,18.8,7822900,18.823216039466217,18.838497739256777,18.84703031245565,,48.042259684511,-0.0197306508191879,-0.007959694127914425,,,,,
ABSA,2025-01-10,19.1,5350100,18.84957641665991,18.84875272987416,18.8495474237745,,62.83130981200194,0.004938492538563821,-0.005380056794618776,,,,,
ABSA,2025-01-13,18.7,703000,18.835331043644683,18.84291928948694,18.84805938970709,,44.60207290015961,-0.007698942067630554,-0.005843833849221132,,,,,
ABSA,2025-01-14,18.45,51300,18.798632849011856,18.827510689899217,18.844098599759757,,37.31517675759993,-0.03745534875832135,-0.012166136831041176,,,,,
ABSA,2025-01-15,17.2,2178600,18.646382101486918,18.76368674127572,18.8277394097124,,19.851502822099164,-0.1600570309375442,-0.04174431565234178,,,,,
ABSA,2025-01-16,17.0,138800,18.489583806107213,18.69452255534334,18.809552947924217,,18.370121685960328,-0.2702428841441957,-0.08744402935071258,,,,,
ABSA,2025-01-17,17.15,108900,18.362004396001762,18.633953043369093,18.793039983268255,,23.010474580961514,-0.3415253288600155,-0.13826028925257317,,,,,
ABSA,2025-01-20,17.25,37700,18.256099215430165,18.57968037500168,18.777686351593946,,26.029413638385478,-0.3855041635648888,-0.1877090641150363,,,,,
ABSA,2025-01-21,17.2,83800,18.15551833777015,18.525575262256517,18.761987979936297,,25.491184254943946,-0.41955590968904843,-0.23407843322983873,,,,,
ABSA,2025-01-22,17.45,313000,18.088326115125373,18.48339584020724,18.74893337317076,,32.9559772826012,-0.42151034429129197,-0.2715648154421294,,,,,
ABSA,2025-01-23,17.55,184600,18.037056961303907,18.44679208176774,18.73700368786558,,35.72971266367827,-0.41026085180825334,-0.2993040227153542,,,,,
ABSA,2025-01-24,17.9,31000,18.0240039173702,18.42534925503175,18.728675292961448,,44.39998256783618,-0.3688515816086273,-0.31321353449400885,,,,,
ABSA,2025-01-27,17.95,151600,18.016955925239706,18.406708107775604,18.72092728009616,,45.53046211596468,-0.3282163803797573,-0.31621410367115854,,,,,
ABSA,2025-01-28,17.9,99100,18.005817265693068,18.386837201588328,18.712758849448438,,44.55487139751576,-0.2966279306377153,-0.3122968690644699,,,,,
ABSA,2025-01-29,17.95,124100,18.00050133562706,18.369706330937806,18.705169209155418,1143555.0,45.80543566223066,-0.2645101659607576,-0.3027395284437275,18.0775,0.7201014182957699,19.51770283659154,16.637297163408462,
ABSA,2025-01-30,17.95,264400,17.995691684614957,18.353247259136324,18.697655087671286,1152065.0,45.80543566223066,-0.23633231425133516,-0.289458085605249,18.0325,0.6970379057879587,19.426575811575916,16.638424188424082,19.1
ABSA,2025-01-31,17.95,65700,17.99134009560401,18.33743364113098,18.690215733565104,1008820.0,45.80543566223066,-0.211562404060178,-0.2738789492962348,17.979999999999997,0.6588267083072352,19.297653416614466,16.662346583385528,19.1
ABSA,2025-02-03,18.0,170400,17.99216484840363,18.324200949321924,18.683347915320674,1007715.0,47.290301453014095,-0.18575620771029477,-0.25625440097904684,17.9375,0.6263669262627044,19.19023385252541,16.68476614747459,19.1
ABSA,2025-02-04,17.9,90500,17.98338724379376,18.307565617975968,18.67555340870057,909640.0,44.65508053958559,-0.17139800592380183,-0.23928312196799784,17.9075,0.6122166369238216,19.131933273847643,16.683066726152354,19.1
ABSA,2025-02-05,17.95,150200,17.98020750628959,18.29354343687887,18.668333971798077,905985.0,46.26735095798108,-0.1542068449124585,-0.22226786655689,17.865000000000002,0.5753946014418448,19.015789202883692,16.714210797116312,19.1
ABSA,2025-02-06,18.0,92400,17.982092505690584,18.28203192955029,18.661683882526454,519460.0,47.90178592593348,-0.134992039619668,-0.2048127011694456,17.825,0.5332373817195828,18.891474763439163,16.758525236560835,19.1
ABSA,2025-02-07,18.25,112200,18.007607505148624,18.280775775450277,18.65758752548639,257565.0,55.23395988881565,-0.09845631422367163,-0.1835414237802908,17.7825,0.4542996344866841,18.691099268973367,16.87390073102663,19.1
ABSA,2025-02-10,18.2,362100,18.025930599896373,18.27760809798164,18.65303441578006,240520.0,53.60892858598186,-0.07269805285388742,-0.16137274959501013,17.7575,0.41303593573746605,18.583571871474934,16.931428128525067,18.7
ABSA,2025-02-11,18.2,135400,18.042508638001483,18.274564643158833,18.648526610647917,244725.0,53.60892858598186,-0.05168861100743172,-0.13943592187749446,17.744999999999997,0.3943348830626044,18.533669766125207,16.956330233874787,18.45
ABSA,2025-02-12,18.35,164900,18.07179352962039,18.277522892446722,18.645556196611622,144040.0,57.91672978776804,-0.022673366130494088,-0.11608341072809439,17.802500000000002,0.3945266984495113,18.591553396899023,17.01344660310098,18.25
ABSA,2025-02-13,18.5,400200,18.11257509822797,18.286247484899793,18.64410787624733,157110.0,61.74252914410886,0.012283573486829624,-0.0904100138851096,17.8775,0.37608614634639526,18.629672292692792,17.12532770730721,18.35
ABSA,2025-02-14,18.5,41200,18.149472707920545,18.29462993647235,18.642673967030937,153725.0,61.74252914410886,0.039531505397985,-0.06442171002849068,17.945,0.3594220506957157,18.663844101391433,17.226155898608567,18.5
ABSA,2025-02-17,18.45,87800,18.178094354785255,18.3007228801401,18.64075681313013,156230.0,59.64627400473344,0.056440494725553236,-0.0402492690776819,18.005000000000003,0.3367413500627788,18.67848270012556,17.331517299874445,18.5
ABSA,2025-02-18,18.5,79500,18.208752035281897,18.308537669154216,18.639356247825354,156015.0,61.06969135501673,0.0730336858542664,-0.017592678091292245,18.07,0.2962040548427052,18.662408109685412,17.47759189031459,18.5
ABSA,2025-02-19,19.1,10521700,18.29363279382648,18.339575407618756,18.64393976774749,666450.0,73.25925282467091,0.13306500442115876,0.012538858411197958,18.152499999999996,0.3408483997013095,18.834196799402616,17.470803200597377,18.5
ABSA,2025-02-20,19.0,285900,18.3609058610811,18.36547441124155,18.6474826556306,671515.0,69.36117836537024,0.17060447048443805,0.04415198082584598,18.225,0.359641634496276,18.944283268992553,17.50571673100745,19.1
ABSA,2025-02-21,18.95,82100,18.41701006478766,18.388396983349725,18.650492778460148,674070.0,67.42925154197667,0.194082918591171,0.07413816837891099,18.2775,0.3854167259364506,19.0483334518729,17.5066665481271,19.1
ABSA,2025-02-24,18.95,49200,18.46777101099836,18.410420631061502,18.653472949818756,668950.0,67.42925154197667,0.21026594296435164,0.10136372329599913,18.3275,0.40505847531072103,19.137616950621442,17.51738304937856,19.1
ABSA,2025-02-25,19.0,406000,18.518459486141374,18.43354139062772,18.65692098016882,684295.0,68.44846254387875,0.22453736157052973,0.12599845095090526,18.3825,0.4184165011337926,19.219333002267586,17.545666997732415,19.1
ABSA,2025-02-26,19.0,149400,18.564320487461245,18.45575545374036,18.66033470175918,685560.0,68.44846254387875,0.23315984211302876,0.14743072918332994,18.435,0.4270769682880322,19.289153936576064,17.580846063423934,19.1
ABSA,2025-02-27,19.1,334900,18.61533758389351,18.481019945750543,18.664709480846152,689085.0,70.58359729543616,0.24523546257096385,0.16699167586085673,18.4925,0.4356709888508836,19.363841977701767,17.621158022298232,19.1
ABSA,2025-02-28,19.0,2199500,18.651972099713177,18.501372104740717,18.668045704917336,795775.0,65.78909677643361,0.24392450466682902,0.18237824162205118,18.544999999999998,0.4300856707802721,19.405171341560543,17.684828658439454,19.1
ABSA,2025-03-03,19.05,166300,18.68987951878811,18.52288692416265,18.671846245166915,795570.0,66.99623702037162,0.24410623844943657,0.1947238409875283,18.5975,0.4241012168165201,19.44570243363304,17.74929756636696,19.1
ABSA,2025-03-04,19.05,75500,18.724176707474957,18.543558025175876,18.675608969095602,794820.0,66.99623702037162,0.24146678499194252,0.20407242978841117,18.654999999999998,0.40193610385101836,19.458872207702033,17.851127792297962,19.1
